Nº;CNPJ;Estado;Tipo;Instituição de Ensino e Pesquisa (IE) / Centro de Pesquisa (CT) / Incubadora (INC);Qtd Projetos Realizados;Valor Total
76;00.501.070/0001-23;PE;CT;SOFTEX Recife - Centro de Excelência em Tecnologia de Software do Recife;2; R$ 660.000,00 
77;13.941.232/0001-96;BA;IE;IFBA - Instituto Federal da Bahia - Instituto Federal da Bahia - SEDE;2; R$ 647.408,05 
78;61.191.244/0001-20;SP;IE;UNIVAP - Universidade do Vale do Paraíba - UNIVAP Virtual;3; R$ 625.382,97 
79;03.795.071/0001-16;BA;IE;SENAI-BA - Serviço Nacional de Aprendizagem Industrial da Bahia - Centro Integrado de Manufatura e Tecnologia - CIMATEC;3; R$ 601.215,82 
80;92.959.006/0008-85;RS;IE;UNISINOS - Universidade do Vale do Rio dos Sinos - Centro de Ciências Exatas e Tecnológicas;3; R$ 570.317,15 
81;15.180.714/0001-04;BA;IE;UFBA - Universidade Federal da Bahia - Departamento de Ciência da Computação - DCC;2; R$ 530.750,94 
82;03.776.284/0022-25;PR;IE;SENAI-PR - Serviço Nacional de Aprendizagem Industrial Unidade Cidade Industrial de Curitiba - SENAI Londrina;5; R$ 526.708,00 
83;95.591.764/0001-05;RS;IE;UFSM - Universidade Federal de Santa Maria - Núcleo de Pesquisa e Desenvolvimento em Engenharia Elétrica - NUPEDEE;3; R$ 517.673,31 
84;88.630.413/0002-81;RS;IE;PUC RS - Pontifícia Universidade Católica do Rio Grande do Sul - Laboratórios Especializados em Eletroeletrônica - LABELO;1; R$ 512.928,15 
85;60.967.551/0001-50;SP;IE;MACKENZIE - Universidade Presbiteriana Mackenzie - Laboratório de TV Digital da Escola de Engenharia Mackenzie;5; R$ 490.000,00 
86;09.220.489/0001-81;BA;CT;LSI-TEC NE - Associação do Laboratório de Sistemas Integráveis Tecnológico Nordeste;1; R$ 484.212,34 
87;43.588.755/0001-61;SP;CT;FDTE - Fundação para o Desenvolvimento Tecnológico da Engenharia;3; R$ 472.930,06 
88;66.025.530/0001-04;SP;IE;USP - Universidade de São Paulo - Instituto de Física de São Carlos - IF SC;1; R$ 468.000,00 
89;45.176.153/0001-22;SP;IE;UNITAU - Universidade de Taubaté - Departamento de Informática;3; R$ 441.189,82 
90;09.429.074/0001-12;DF;INC;IBTI INCUBADORA - Incubadora Internacional de Tecnologia;2; R$ 348.500,00 
91;88.648.761/0001-03;RS;IE;UCS - Universidade de Caxias do Sul - Departamento de Engenharia e Informática;2; R$ 342.082,64 
92;33.663.683/0055-09;RJ;IE;UFRJ - Universidade Federal do Rio de Janeiro - Coordenação dos Programas de Pós-graduação de Engenharia - COPPE;2; R$ 333.891,05 
93;88.630.413/0002-81;RS;IE;PUC RS - Pontifícia Universidade Católica do Rio Grande do Sul - Laboratórios Especializados em Eletroeletrônica - LABELO;2; R$ 289.028,01 
94;01.203.327/0003-95;SP;CT;C.E.S.A.R.SUL UNIDADE SOROCABA - C.E.S.A.R.SUL UNIDADE SOROCABA;4; R$ 280.948,68 
95;17.717.985/0001-04;MG;IE;UFMG - Universidade Federal de Minas Gerais - Departamento de Engenharia Elétrica - DEE;2; R$ 279.224,18 
96;11.022.597/0001-91;PE;IE;UPE - Universidade de Pernambuco - Departamento de Sistemas Computacionais - DSC;1; R$ 264.000,00 
97;07.494.190/0001-90;SC;INC;CITEB Incubadora - Centro de Inovação e Tecnologia de Biguaçu;2; R$ 261.700,00 
98;75.101.873/0001-90;PR;IE;UTFPR - Universidade Tecnológica Federal do Paraná - Departamento de Pós- Graduação e Pesquisa - DEPOG;5; R$ 242.215,11 
99;78.626.363/0001-24;SC;INC;CELTA - Centro Empresarial para Laboração de Tecnologias Avançadas;1; R$ 240.076,06 
100;79.307.138/0001-98;SC;INC;MIDI - Micro Distrito Industrial Tecnológico;1; R$ 236.628,40 
101;03.774.688/0002-36;SC;IE;SENAI-SC - Serviço Nacional de Aprendizagem Industrial de Santa Catarina - SENAI Florianópolis;3; R$ 226.879,80 
